file_name,cell_id,track_id,radius_of_gyration,log_rg
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,984,1.578211831,0.456292453
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,989,1.017323362,0.017175024
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,992,1.720865646,0.542827447
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,1074,3.506739556,1.254686704
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,1094,0.742839363,-0.297275459
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,1185,1.152726039,0.142129606
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,1216,0.946771703,-0.054697289
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,20,3.02614712,1.107290233
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,34,3.23489148,1.173995382
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,50,0.714852404,-0.335679186
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,99,0.859685985,-0.15118809
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,186,0.477973686,-0.738199598
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,218,2.391650231,0.871983601
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,237,5.042754214,1.617952404
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,286,0.753648059,-0.282829786
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,308,0.631077341,-0.460326855
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,323,1.69412367,0.527165598
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,325,2.041117782,0.71349759
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,328,1.17883433,0.164526094
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,367,0.466863757,-0.761717804
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,403,0.769239868,-0.262352436
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,411,0.762863963,-0.270675556
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,414,0.623331212,-0.472677261
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,430,0.331589276,-1.103858197
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,560,2.068260248,0.726707794
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,649,2.116646755,0.749833117
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,656,1.851849104,0.616184656
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,664,2.098027943,0.740997829
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,666,1.049621835,0.048429942
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,669,2.258482588,0.814693166
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,673,0.303603774,-1.192031802
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,674,0.958776496,-0.042097291
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,729,1.829363578,0.603968135
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,822,1.924001283,0.654407019
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,860,1.056738153,0.055186949
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,872,1.863533159,0.622474233
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,879,2.508347072,0.919623999
